 RCO=                 1.41981480 ANGSTROM
 ROH=                 0.95785412 ANGSTROM
 ACOH=              108.34330051 DEGREE
 RCH1=                1.09294560 ANGSTROM
 AOCH1=             111.84675947 DEGREE
 AHH1=               66.20949697 DEGREE
 RCH2=                1.08780307 ANGSTROM
 AOCH2=             106.82034900 DEGREE
 RCH3=                1.09307970 ANGSTROM
 AOCH3=             111.88050406 DEGREE
 AHH3=              303.47717369 DEGREE

 RCO=                 1.42001566 ANGSTROM
 ROH=                 0.95775822 ANGSTROM
 ACOH=              108.35972605 DEGREE
 RCH1=                1.09292116 ANGSTROM
 AOCH1=             111.80043615 DEGREE
 AHH1=               71.03097584 DEGREE
 RCH2=                1.08787136 ANGSTROM
 AOCH2=             106.89064266 DEGREE
 RCH3=                1.09297332 ANGSTROM
 AOCH3=             111.87746029 DEGREE
 AHH3=              308.35625196 DEGREE

 RCO=                 1.42027191 ANGSTROM
 ROH=                 0.95759044 ANGSTROM
 ACOH=              108.39231254 DEGREE
 RCH1=                1.09284823 ANGSTROM
 AOCH1=             111.72914571 DEGREE
 AHH1=               75.85924477 DEGREE
 RCH2=                1.08799956 ANGSTROM
 AOCH2=             107.00461108 DEGREE
 RCH3=                1.09283271 ANGSTROM
 AOCH3=             111.87259001 DEGREE
 AHH3=              313.27672224 DEGREE

200
 RCO=                 1.42066082 ANGSTROM
 ROH=                 0.95737163 ANGSTROM
 ACOH=              108.43414568 DEGREE
 RCH1=                1.09272117 ANGSTROM
 AOCH1=             111.62469801 DEGREE
 AHH1=               80.70141350 DEGREE
 RCH2=                1.08817102 ANGSTROM
 AOCH2=             107.16156661 DEGREE
 RCH3=                1.09265178 ANGSTROM
 AOCH3=             111.86594501 DEGREE
 AHH3=              318.25075772 DEGREE

205
 RCO=                 1.42108624 ANGSTROM
 ROH=                 0.95711110 ANGSTROM
 ACOH=              108.48646986 DEGREE
 RCH1=                1.09255914 ANGSTROM
 AOCH1=             111.48498105 DEGREE
 AHH1=               85.57010159 DEGREE
 RCH2=                1.08838802 ANGSTROM
 AOCH2=             107.35891356 DEGREE
 RCH3=                1.09244660 ANGSTROM
 AOCH3=             111.86551803 DEGREE
 AHH3=              323.28611206 DEGREE

210
 RCO=                 1.42155132 ANGSTROM
 ROH=                 0.95682806 ANGSTROM
 ACOH=              108.54359277 DEGREE
 RCH1=                1.09235922 ANGSTROM
 AOCH1=             111.30617531 DEGREE
 AHH1=               90.47359851 DEGREE
 RCH2=                1.08864805 ANGSTROM
 AOCH2=             107.59270837 DEGREE
 RCH3=                1.09222309 ANGSTROM
 AOCH3=             111.87237669 DEGREE
 AHH3=              328.39018600 DEGREE

215
 RCO=                 1.42203045 ANGSTROM
 ROH=                 0.95654106 ANGSTROM
 ACOH=              108.60254210 DEGREE
 RCH1=                1.09212278 ANGSTROM
 AOCH1=             111.08582238 DEGREE
 AHH1=               95.41729502 DEGREE
 RCH2=                1.08894703 ANGSTROM
 AOCH2=             107.86041208 DEGREE
 RCH3=                1.09199079 ANGSTROM
 AOCH3=             111.88701877 DEGREE
 AHH3=              333.56757204 DEGREE

220
 RCO=                 1.42248347 ANGSTROM
 ROH=                 0.95627080 ANGSTROM
 ACOH=              108.65901840 DEGREE
 RCH1=                1.09185659 ANGSTROM
 AOCH1=             110.82459818 DEGREE
